time_hours,t_half_1h,t_half_2h,t_half_4h,t_half_6h,t_half_8h,t_half_12h,t_half_18h,t_half_24h,t_half_36h,t_half_48h,t_half_60h,t_half_72h
38.0,0.0,0.0,0.0,1.313784193494246,3.9369043092023057,11.797383174928234,24.521078615154018,35.35220539924175,50.96751436610192,61.197252570484984,68.29595900548136,73.48021124346945
39.0,0.0,0.0,0.0,1.1704486538970642,3.6101571692484087,11.135246935677966,23.594766349856474,34.34579673558632,49.99556833540703,60.31987971661569,67.51151301036495,72.77620817543934
40.0,0.0,0.0,0.0,1.0427512054059798,3.31052872080512,10.510273547953974,22.703446607779764,33.36803857299135,49.04215723030805,59.45508558307079,66.7360771459827,72.07895005698688
41.0,0.0,0.0,0.0,0.9289857122354822,3.035768222123484,9.920377221171643,21.845797505659213,32.418115287306684,48.10692759139878,58.60268983123566,65.9695479221564,71.38837226574489
42.0,0.0,0.0,0.0,0.8276321802012803,2.7838117339194905,9.36358923117651,21.020547095907947,31.495234473618453,47.18953269971295,57.762514707974525,65.21182303739388,70.7044107984835
43.0,0.0,0.0,0.0,0.7373364484330146,2.55276661552478,8.838051349810437,20.226471480238622,30.59862628524248,46.289632448184555,56.93438500856304,64.46280136523582,70.02700226517828
44.0,0.0,0.0,0.0,0.656892096747123,2.340897307794127,8.342009643247838,19.462392994545205,29.727542791535395,45.40689321555952,56.1181280401522,63.72238294075944,69.35608388313538
45.0,0.0,0.0,0.0,0.585224326948532,2.146612295974145,7.873808618404613,18.72717846235302,28.88125735398727,44.54098774271186,55.31357358575603,62.99046894723689,68.69159347117264
46.0,0.0,0.0,0.0,0.5213756027029899,1.9684521546011529,7.431885697883849,18.019737514246724,28.0590640200761,43.6915950113184,54.52055386875567,62.266961702947405,68.0334694438566
47.0,0.0,0.0,0.0,0.46449285611774055,1.8050785846242041,7.014766005019024,17.339020970783842,27.260276934377828,42.85840012484729,53.73890351791236,61.551764648140356,67.38165080579485
48.0,0.0,0.0,0.0,0.41381609010064013,1.655264360402561,6.62105744161024,16.684019286495683,26.48422976644096,42.041094191815894,52.96845953288192,60.844782332148476,66.7360771459827
49.0,0.0,0.0,0.0,0.3686682242165073,1.517884111061742,6.249446041925879,16.053761052667788,25.730275154948497,41.23937421127506,52.20906125022373,60.14592040064897,66.09668863220453
50.0,0.0,0.0,0.0,0.3284460483735615,1.3919058669597457,5.898691587464117,15.447311556679786,24.997784167703514,40.452942960477245,51.46055030989701,59.45508558307079,65.46342600548827
51.0,0.0,0.0,0.0,0.2926121634742661,1.2763833077623905,5.567623467838985,14.863771395767701,24.286145776987876,39.681508884686565,50.72277062223739,58.772185680146826,64.83623057461337
52.0,0.0,0.0,0.0,0.26068780135149516,1.1704486538970642,5.2551367739769885,14.302275143153032,23.59476634985648,38.92478598909041,49.99556833540703,58.09712955160885,64.21504421067115
53.0,0.0,0.0,0.0,0.2322464280588704,1.0733061479870725,4.9601886105858215,13.761990064560468,22.923069152941835,38.182493732772215,49.27879180331137,57.429827104023914,63.59980934167747
54.0,0.0,0.0,0.0,0.20690804505032,0.9842260773005764,4.681794615588255,13.242114883220475,22.270493871355928,37.45435692470603,48.57229155397574,56.77018927877038,62.99046894723689
55.0,0.0,0.0,0.0,0.18433411210825376,0.9025392923121023,4.419025674905219,12.741878591525483,21.63649614128791,36.740105621734735,47.8759202583755,56.1181280401522,62.38696655325796
56.0,0.0,0.0,0.0,0.0,0.8276321802012804,4.171004821623921,12.260539307577012,21.020547095907943,36.03947502849344,47.18953269971295,55.473556363649465,61.78924622671914
57.0,0.0,0.0,0.0,0.0,0.7589420555308709,3.9369043092023057,11.797383174928232,20.422132924198237,35.35220539924175,46.51298574313479,54.836388224304095,61.197252570484984
58.0,0.0,0.0,0.0,0.0,0.6959529334798726,3.7159428489419235,11.351723303889875,19.840754442343275,34.6780419415677,45.84613830588368,54.20653858523904,60.61093071817178
59.0,0.0,0.0,0.0,0.0,0.6381916538811953,3.507383002509513,10.922898752829605,19.2759266773218,34.0167347219283,45.18885132787775,53.58392338630906,60.03022632906258
60.0,0.0,0.0,0.0,0.0,0.5852243269485319,3.31052872080512,10.510273547953974,18.72717846235302,33.36803857299135,44.54098774271186,52.96845953288192,59.45508558307079
61.0,0.0,0.0,0.0,0.0,0.5366530739935361,3.124723020962939,10.11323574011931,18.194052043859827,32.73171300274413,43.902412449074745,52.360064884748795,58.885455175752156
62.0,0.0,0.0,0.0,0.0,0.4921130386502882,2.949345793732058,9.731196497272602,17.67610269962087,32.107522105335576,43.272992282575814,51.758658245161534,58.32128231336445
63.0,0.0,0.0,0.0,0.0,0.45126964615605114,2.7838117339194928,9.36358923117651,17.17289836779316,31.495234473618453,42.652595987975836,51.164159349996204,57.762514707974525
64.0,0.0,0.0,0.0,0.0,0.4138160901006402,2.6275683869884934,9.00986875712336,16.684019286495683,30.89462311335957,42.041094191815894,50.57648885704097,57.20910057261213
65.0,0.0,0.0,0.0,0.0,0.37947102776543545,2.4800943052929108,8.669510485391925,16.209057643653342,30.30546535908589,41.438359375438665,49.99556833540703,56.66098861647044
66.0,0.0,0.0,0.0,0.0,0.3479764667399366,2.3408973077941284,8.342009643247842,15.747617236809223,29.727542791535402,40.844265848396475,49.42132025506116,56.1181280401522
67.0,0.0,0.0,0.0,0.0,0.3190958269405976,2.209512837452609,8.026880526333894,15.299313142621246,29.16064115668223,40.25868972224065,48.85366797647852,55.580468530961745
68.0,0.0,0.0,0.0,0.0,0.29261216347426594,2.085502410811959,7.723655778339895,14.863771395767698,28.604550286306065,39.68150888468657,48.29253574041432,55.047960258241886
69.0,0.0,0.0,0.0,0.0,0.268326536996768,1.9684521546011529,7.431885697883849,14.440628676993635,28.0590640200761,39.11260297414918,47.73784865779288,54.52055386875567
70.0,0.0,0.0,0.0,0.0,0.24605651932514427,1.8579714244709633,7.151137571576522,14.029532010038052,27.523980129120943,38.5518533546436,47.18953269971295,53.99820048211217
71.0,0.0,0.0,0.0,0.0,0.22563482307802554,1.753691501254757,6.880995032280236,13.63013846718892,26.999100241056084,37.99914309104545,46.6475146875677,53.4808516862363
72.0,0.0,0.0,0.0,0.0,0.20690804505032,1.655264360402561,6.62105744161024,13.242114883220486,26.48422976644096,37.45435692470604,46.11172228327832,52.96845953288192
