regime,scenario,t_hours,delta_psi_mV,sumATP_c_mM
uniform_12h,A,17.728643216080403,158.1491068409051,4.220382554170739
uniform_12h,A,18.090452261306535,157.9770407795074,4.193329941484262
uniform_12h,A,18.452261306532666,157.80796166304398,4.165777714636348
uniform_12h,A,18.814070351758794,157.63673509058117,4.136801022888913
uniform_12h,A,19.175879396984925,157.4627566027127,4.106352302743861
uniform_12h,A,19.537688442211056,157.2914907050311,4.075219364524596
uniform_12h,A,19.899497487437188,157.1173114564719,4.042343193568189
uniform_12h,A,20.26130653266332,156.94170779481786,4.008078840742684
uniform_12h,A,20.623115577889447,156.76785921339695,3.972793081964488
uniform_12h,A,20.984924623115578,156.59065895370097,3.935442247125792
uniform_12h,A,21.34673366834171,156.41357035344396,3.896864370985365
uniform_12h,A,21.70854271356784,156.23691255938715,3.8567871584592015
uniform_12h,A,22.07035175879397,156.05666078594706,3.8143712892098893
uniform_12h,A,22.432160804020103,155.87808940228888,3.7708184244740957
uniform_12h,A,22.793969849246235,155.69851809924117,3.725230651049768
uniform_12h,A,23.155778894472363,155.51580388166755,3.6771640166834674
uniform_12h,A,23.517587939698494,155.3351638818424,3.6277871152133088
uniform_12h,A,23.87939698492462,155.15261304576165,3.5758635446907823
uniform_12h,A,24.241206030150757,154.96781905842602,3.5214285465714905
uniform_12h,A,24.603015075376884,154.78474616632414,3.465292789989375
uniform_12h,A,24.964824120603016,154.59920269845423,3.406088709026714
uniform_12h,A,25.32663316582915,154.4125936949469,3.3444379663208292
uniform_12h,A,25.68844221105528,154.2268712670319,3.280488548601817
uniform_12h,A,26.05025125628141,154.0382918667943,3.2129604832369036
uniform_12h,A,26.412060301507537,153.8500889044125,3.1430641784469966
uniform_12h,A,26.77386934673367,153.66172480280264,3.0701227131958806
uniform_12h,A,27.1356783919598,153.4705766543917,2.9932225362048412
uniform_12h,A,27.49748743718593,153.28056739203365,2.913745011337587
uniform_12h,A,27.85929648241206,153.0895970643494,2.830467013629549
uniform_12h,A,28.221105527638194,152.8963634967839,2.7429701068898553
uniform_12h,A,28.582914572864325,152.70437380168764,2.6524096953328486
uniform_12h,A,28.944723618090453,152.51091935744708,2.5572631028120907
uniform_12h,A,29.306532663316585,152.31600892690122,2.4577491404775174
uniform_12h,A,29.668341708542712,152.1220533954115,2.3544301391136693
uniform_12h,A,30.030150753768847,151.9262456743623,2.245691177390774
uniform_12h,A,30.391959798994975,151.73008924391638,2.1325115750499823
uniform_12h,A,30.753768844221106,151.53428230223477,2.014536921890166
uniform_12h,A,31.11557788944724,151.3365601242175,1.8904279234913253
uniform_12h,A,31.47738693467337,151.13936671566873,1.7615443147408358
uniform_12h,A,31.8391959798995,150.94195874257156,1.6268022251054628
uniform_12h,A,32.20100502512563,150.7429405093306,1.485333632734249
uniform_12h,A,32.562814070351756,150.5448197603296,1.3384385799894425
uniform_12h,A,32.924623115577894,150.34613913308362,1.1845664454344427
uniform_12h,A,33.28643216080402,150.14639653132195,1.023488895035164
uniform_12h,A,33.64824120603015,149.94758652277704,0.8560275068179292
uniform_12h,A,34.01005025125629,149.74801353721972,0.6804030419199265
